chunk	position	next	reference_nll	candidate_nll	kl	same_top
1	449	17523	2.56981	2.58155	0.00299824	1
1	450	5465	3.63916	3.62145	0.00241856	1
1	451	1316	1.47424	1.40891	0.00594351	1
1	452	621	0.000495793	0.000602297	1.41721e-05	1
1	453	912	0.00278133	0.0027424	5.39104e-05	1
1	454	4329	5.6465	5.76239	0.00643183	0
1	455	389	2.64864	2.79315	0.00312826	1
1	456	9226	0.00103594	0.00133694	4.45188e-05	1
1	457	352	3.82002e-05	3.47067e-05	6.31376e-07	1
1	458	347	0.23859	0.231451	0.00152324	1
1	459	582	1.37145	1.33593	0.000758041	1
1	460	282	0.0214659	0.0186854	0.000302764	1
1	461	650	2.98315	2.96123	0.000731748	1
1	462	4932	3.87352	3.95087	0.00523869	1
1	463	857	6.7059	6.76176	0.00220784	1
1	464	3394	18.2709	18.1236	0.000895957	1
1	465	29	5.67365	5.33619	0.00735221	1
1	466	48	14.8993	14.6493	0.0067958	1
1	467	5703	5.41679	5.57394	0.00502579	1
1	468	1577	5.33369	5.33303	0.00206435	1
1	469	476	0.155842	0.150573	0.000381086	1
1	470	339	1.10127	1.18133	0.00550291	1
1	471	5732	4.5495	4.49379	0.00209577	1
1	472	1891	4.38134	4.51741	0.00662401	1
1	473	351	0.122613	0.103244	0.00193473	1
1	474	253	6.65661	6.86429	0.00497532	1
1	475	18904	4.70783	4.71063	0.00191623	1
1	476	1217	3.56606	3.56534	0.00594319	0
1	477	6356	5.70821	5.77011	0.0048561	1
1	478	389	0.317645	0.3335	0.00219099	1
1	479	9226	0.00296146	0.00272817	2.57883e-05	1
1	480	352	0.000112755	8.72915e-05	4.88661e-06	1
1	481	3297	1.57332	1.57881	0.00147424	1
1	482	617	2.30331	2.27057	0.00376197	1
1	483	436	1.44446	1.45881	0.00223842	1
1	484	281	3.84896	3.80454	0.00237204	1
1	485	260	1.14344	1.13476	0.00321622	1
1	486	20930	13.3367	13.3844	0.00478439	1
1	487	3093	5.84582	5.67668	0.0049932	1
1	488	282	2.92773	3.00061	0.00909199	0
1	489	18204	2.4067	2.31023	0.00351283	1
1	490	3297	3.1814	3.35491	0.00912401	1
1	491	27821	0.416152	0.390448	0.00272127	1
1	492	3066	0.045184	0.0417415	0.000415518	1
1	493	284	0.608494	0.519807	0.0062437	1
1	494	35492	0.108496	0.123556	0.00142483	1
1	495	418	4.41637	4.43165	0.00184656	1
1	496	260	0.30608	0.276241	0.00482373	1
1	497	2071	6.5833	6.65583	0.00183983	1
1	498	1673	6.03415	6.10301	0.00173149	1
1	499	909	1.94071	1.82096	0.00282804	1
1	500	4944	3.91789	4.04428	0.00457259	1
1	501	957	6.06492	6.13603	0.00497765	1
1	502	5717	3.56289	3.57803	0.00421011	1
1	503	281	1.92329	1.87552	0.00482059	1
1	504	18593	12.3634	12.1406	0.00295119	1
1	505	33817	0.0558143	0.0608578	0.000413835	1
1	506	1673	1.05304	1.08131	0.00204121	1
1	507	476	1.35562	1.32737	0.00328977	1
1	508	909	2.72712	2.6101	0.00791015	1
1	509	18821	6.62365	6.82098	0.0156072	1
1	510	476	3.68321	3.79071	0.0049731	1
2	256	281	0.754591	0.750241	0.000776123	1
2	257	3772	9.50649	9.4803	0.00185403	1
2	258	14612	0.677895	0.68486	0.00201645	1
2	259	282	0.203169	0.22392	0.00124827	1
2	260	260	0.575872	0.589795	0.00171752	1
2	261	8552	0.923978	0.952174	0.0022952	1
2	262	3086	0.0774702	0.0775986	0.000127622	1
2	263	17709	7.3598	7.27335	0.00598507	1
2	264	531	0.517022	0.569617	0.00372857	1
2	265	866	1.03488	1.04575	0.0087072	1
2	266	281	2.29645	2.22737	0.00802769	1
2	267	216	1.25554	1.2924	0.0012282	1
2	268	34	0.0210575	0.0197577	6.96043e-05	1
2	269	32	0.0015936	0.0017516	1.41582e-05	1
2	270	33	1.09273	1.12722	0.000297045	1
2	271	32	0.773023	0.806985	0.000615675	1
2	272	3297	1.66948	1.68845	0.00299226	1
2	273	347	2.60791	2.72973	0.00310193	1
2	274	476	1.56908	1.51619	0.00287508	1
2	275	659	4.48024	4.4265	0.00227299	0
2	276	1153	3.64894	3.45465	0.00766925	1
2	277	258	1.49238	1.33594	0.00948665	1
2	278	40775	9.68805	9.76207	0.00227536	1
2	279	476	0.250119	0.27673	0.00238052	1
2	280	1673	0.337707	0.331992	0.00200679	1
2	281	909	1.55395	1.54009	0.00208729	0
2	282	18821	3.61342	3.57237	0.00152201	1
2	283	354	3.59175	3.63532	0.00510202	1
2	284	5851	7.97492	8.03432	0.00588559	1
2	285	9115	6.41521	6.49551	0.00549556	1
